"filename", "language", "Python", "XML", "Markdown", "HTML", "Batch", "Shell Script", "JavaScript", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\docs\_navbar.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\docs\_sidebar.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\docs\index.html", "HTML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 3, 47
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\docs\sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 38, 8, 83
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\kfq.ui", "XML", 0, 616, 0, 0, 0, 0, 0, 0, 0, 0, 1, 617
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\main.py", "Python", 213, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 241
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\main_cmdl.py", "Python", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 185
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\msl_config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\output.ui", "XML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\setup.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 44
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\ui_kfq.py", "Python", 304, 0, 0, 0, 0, 0, 0, 0, 0, 10, 104, 418
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\ui_output.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 46
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\update_gui.cmd", "Batch", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\update_gui.sh", "Shell Script", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\update_requirements.cmd", "Batch", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\HTTco\OneDrive\桌面\MSL2-Python\update_requirements.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 8618, 4661, 230, 43, 16, 12, 37, 1, 33, 233, 832, 14716
